produto_id;fornecedor_id;transportadora_id;lote_id;tipo_mov_id;data;qtde_prod;preco_venda;unidade_medida
157;32;10;57;1;2024-07-01;326;279.93;UN
16;5;;51;1;2024-07-01;803;25.57;UN
98;;;10;2;2024-07-01;115;103.0;UN
58;13;;47;1;2024-07-01;156;5.55;UN
26;30;;62;1;2024-07-01;142;6.31;UN
92;10;17;42;1;2024-07-01;768;9.12;UN
20;32;;25;1;2024-07-01;222;17.32;UN
20;;;58;3;2024-07-01;50;17.18;UN
106;9;;15;1;2024-07-01;768;55.37;UN
147;;;27;2;2024-07-01;339;0.79;UN
73;;17;7;2;2024-07-01;117;2.17;UN
130;;;6;3;2024-07-01;14;35.97;UN
141;26;;57;1;2024-07-01;608;87.06;UN
153;26;;66;1;2024-07-01;395;173.91;UN
90;32;;26;1;2024-07-01;138;12.44;UN
99;;6;45;2;2024-07-01;144;29.35;UN
41;;;44;2;2024-07-01;948;142.68;UN
67;21;;28;1;2024-07-01;287;73.37;UN
96;;;52;2;2024-07-01;897;30.89;UN
106;;;53;3;2024-07-01;3;52.37;UN
160;35;9;4;1;2024-07-01;896;174.51;UN
136;;5;44;2;2024-07-01;736;1.9;UN
141;10;5;53;1;2024-07-01;271;86.52;UN
24;7;;60;1;2024-07-01;261;9.62;UN
90;;2;29;2;2024-07-01;601;11.23;UN
96;;16;39;2;2024-07-01;419;31.72;UN
92;;1;39;2;2024-07-01;531;8.93;UN
113;;12;51;2;2024-07-01;142;8.05;UN
133;29;;31;1;2024-07-01;125;21.76;UN
89;18;;51;1;2024-07-01;167;11.91;UN
107;;;30;2;2024-07-01;944;65.29;UN
46;30;;11;1;2024-07-01;386;11.19;UN
78;;;23;3;2024-07-01;39;162.88;UN
112;;;53;3;2024-07-01;47;237.19;UN
40;;;12;2;2024-07-01;138;166.5;UN
94;;;45;3;2024-07-01;11;37.54;UN
71;;14;15;2;2024-07-01;447;224.44;UN
20;27;;66;1;2024-07-01;189;16.46;UN
60;11;19;47;1;2024-07-01;668;8.56;UN
38;8;3;48;1;2024-07-01;177;31.17;UN
5;6;;46;1;2024-07-01;924;1261.77;UN
137;;;33;2;2024-07-01;855;6.42;UN
14;;20;36;2;2024-07-02;963;7.82;UN
43;18;18;13;1;2024-07-02;509;22.61;UN
34;;;63;3;2024-07-02;10;250.38;UN
4;;;20;2;2024-07-02;431;5.98;UN
99;6;20;1;1;2024-07-02;916;30.32;UN
113;;7;61;2;2024-07-02;666;7.02;UN
107;;;48;2;2024-07-02;6;82.44;UN
28;17;1;48;1;2024-07-02;98;74.61;UN
142;;;70;3;2024-07-02;4;77.85;UN
110;;;7;3;2024-07-02;3;31.21;UN
1;;4;22;2;2024-07-02;88;13.89;UN
43;;8;15;2;2024-07-02;761;23.8;UN
30;;14;23;2;2024-07-02;702;249.05;UN
126;11;2;57;1;2024-07-02;731;53.08;UN
108;;3;34;2;2024-07-02;869;242.08;UN
70;;;3;3;2024-07-02;4;103.86;UN
57;;;63;3;2024-07-02;13;58.37;UN
26;;;15;3;2024-07-02;37;4.95;UN
109;;17;30;2;2024-07-02;264;31.08;UN
122;36;13;8;1;2024-07-02;572;29.07;UN
130;;12;38;2;2024-07-02;652;29.81;UN
109;2;5;19;1;2024-07-02;704;23.59;UN
50;;;7;3;2024-07-02;8;19.34;UN
109;23;13;67;1;2024-07-02;775;28.98;UN
160;14;15;62;1;2024-07-02;522;222.65;UN
65;;;15;3;2024-07-02;43;1.01;UN
86;8;19;23;1;2024-07-02;428;40.91;UN
158;28;8;40;1;2024-07-02;396;467.98;UN
131;;18;13;2;2024-07-02;285;43.75;UN
134;;;32;3;2024-07-02;14;1.12;UN
153;;14;48;2;2024-07-02;619;148.77;UN
27;2;8;1;1;2024-07-02;920;94.47;UN
40;;17;32;2;2024-07-02;307;191.59;UN
38;33;4;36;1;2024-07-02;645;29.39;UN
56;;;3;3;2024-07-02;18;29.64;UN
43;;;70;3;2024-07-02;11;22.14;UN
133;30;20;7;1;2024-07-02;776;25.03;UN
45;;17;54;2;2024-07-02;954;136.47;UN
81;28;12;50;1;2024-07-03;724;1.19;UN
70;1;;58;1;2024-07-03;116;115.1;UN
104;16;13;37;1;2024-07-03;233;181.52;UN
35;;10;6;2;2024-07-03;436;22.79;UN
140;;;56;2;2024-07-03;609;252.0;UN
124;32;;40;1;2024-07-03;522;270.89;UN
91;29;3;66;1;2024-07-03;792;8.02;UN
98;;;65;3;2024-07-03;36;103.52;UN
79;30;18;5;1;2024-07-03;16;211.48;UN
75;;13;5;2;2024-07-03;672;0.76;UN
76;;;12;2;2024-07-03;922;0.64;UN
