tipo_mov_id;data;qtde_prod;preco_venda;;;TAMANHO AMOSTRA;2.79
2;23/10/2025;223;96.26;;;MÉDIA AMOSTRAL;101.092963
2;26/03/2026;428;220.45;;;DESVIO PADRÃO AMOSTRAL;387.1397525
2;14/04/2025;606;27.34;;;;
2;19/08/2024;778;262.54;;;N POP;8092
2;05/06/2025;898;94.03;;;MÉDIA POP;R$ 101.59
2;03/03/2025;42;19.65;;;DESVPAD POP;R$ 397.90
2;01/09/2025;652;1.84;;;;
2;22/05/2026;960;51.42;;;;
2;30/07/2025;460;8.38;;;;
2;20/06/2025;979;19.32;;;;
2;17/11/2025;868;44.19;;;;
2;11/09/2025;80;1.9;;;;
2;02/12/2024;406;6.23;;;;
2;04/03/2025;439;142.21;;;;
2;02/06/2026;787;21.23;;;;
2;13/03/2026;501;11.08;;;;
2;17/04/2026;315;7.73;;;;
2;13/11/2025;522;8.2;;;;
2;19/08/2024;794;0.32;;;;
2;15/10/2025;482;68.7;;;;
2;08/09/2025;791;21.57;;;;
2;19/03/2026;857;3.78;;;;
2;16/09/2024;825;62.41;;;;
2;20/08/2024;179;193.99;;;;
2;11/07/2025;492;284.64;;;;
2;21/01/2025;309;30.53;;;;
2;09/12/2024;715;15.35;;;;
2;13/08/2025;380;72.4;;;;
2;26/07/2024;69;84.25;;;;
2;07/07/2025;680;71.18;;;;
2;13/06/2025;901;55.27;;;;
2;17/02/2025;995;9.85;;;;
2;27/12/2024;920;141.43;;;;
2;10/07/2025;233;2.06;;;;
2;10/07/2024;867;11.01;;;;
2;30/03/2026;753;13.21;;;;
2;30/06/2025;556;245.3;;;;
2;31/10/2024;328;213.13;;;;
2;24/10/2024;620;35.07;;;;
2;11/03/2026;846;100.27;;;;
2;22/09/2025;304;1.27;;;;
2;03/01/2025;115;11.54;;;;
2;30/06/2025;297;114.62;;;;
2;04/02/2025;583;271.38;;;;
2;02/01/2025;731;12.69;;;;
2;17/06/2025;545;5.09;;;;
2;03/02/2025;855;89.32;;;;
2;03/09/2025;867;271.43;;;;
2;28/11/2024;836;256.98;;;;
2;29/07/2025;453;4.45;;;;
2;09/09/2025;53;67.52;;;;
2;26/02/2026;239;1.06;;;;
2;13/01/2026;969;33.6;;;;
2;28/04/2025;662;29.48;;;;
2;12/09/2024;302;12.96;;;;
2;22/10/2024;384;197.86;;;;
2;07/01/2025;2;1.75;;;;
2;19/07/2024;525;12.71;;;;
2;01/01/2026;858;37.15;;;;
2;02/07/2025;24;38.14;;;;
2;06/02/2026;843;34.17;;;;
2;31/10/2024;44;38.12;;;;
2;28/11/2025;712;71.91;;;;
2;27/03/2025;578;26.65;;;;
2;27/05/2026;914;1.56;;;;
2;12/12/2024;676;0.78;;;;
2;15/04/2026;953;36.19;;;;
2;03/06/2026;27;9.72;;;;
2;07/01/2026;303;1;;;;
2;12/02/2025;348;4.64;;;;
2;23/07/2024;983;32.94;;;;
2;19/03/2025;884;2.38;;;;
2;06/11/2024;781;2.65;;;;
2;01/07/2025;517;154.15;;;;
2;03/12/2024;830;10.82;;;;
2;01/10/2024;774;1.75;;;;
2;09/01/2026;901;100.47;;;;
2;17/07/2024;952;427.45;;;;
2;26/02/2026;346;90.28;;;;
2;04/07/2025;762;20.66;;;;
2;02/05/2025;400;148.76;;;;
2;22/09/2025;909;110.68;;;;
2;19/11/2025;194;1.81;;;;
2;16/08/2024;331;33.78;;;;
2;11/02/2026;937;128.25;;;;
2;10/02/2026;233;0.72;;;;
2;21/10/2024;915;0.86;;;;
2;20/08/2024;336;237.43;;;;
2;28/08/2024;802;16.46;;;;
2;09/12/2025;23;190.09;;;;
2;29/09/2025;74;23.2;;;;
2;15/01/2026;410;46.65;;;;
2;23/03/2026;127;2.36;;;;
2;24/11/2025;610;26.52;;;;
2;21/07/2025;902;227.75;;;;
2;04/02/2025;719;190.28;;;;
2;24/07/2024;472;5.43;;;;
2;06/06/2025;260;221.6;;;;
2;29/04/2026;279;20.66;;;;
2;13/09/2024;377;34.04;;;;
2;03/11/2025;142;268.71;;;;
2;11/12/2024;982;13.62;;;;
2;22/01/2025;755;9.65;;;;
2;28/04/2026;107;45.57;;;;
2;30/12/2025;718;12.36;;;;
2;29/09/2025;937;118.97;;;;
2;28/02/2025;459;0.91;;;;
2;16/05/2025;21;165.55;;;;
2;10/10/2025;551;1.84;;;;
2;30/03/2026;409;223.11;;;;
2;19/05/2025;625;37.97;;;;
2;18/05/2026;929;178.51;;;;
2;29/05/2025;785;223.83;;;;
2;30/04/2026;323;1.08;;;;
2;17/09/2025;446;73.24;;;;
2;16/09/2024;799;27.59;;;;
2;23/06/2025;730;38.11;;;;
2;27/08/2025;85;62.79;;;;
2;15/01/2026;992;24.49;;;;
2;09/10/2024;77;1.02;;;;
2;18/07/2024;557;26.19;;;;
2;11/02/2025;336;98.38;;;;
2;17/11/2025;881;31.13;;;;
2;10/03/2026;326;15.06;;;;
2;25/02/2025;561;11.14;;;;
2;27/09/2024;122;185.74;;;;
2;15/08/2025;112;11.99;;;;
2;16/01/2026;90;29.93;;;;
2;26/03/2026;710;54.48;;;;
2;09/01/2026;955;147.03;;;;
2;22/10/2025;503;270.83;;;;
2;07/10/2025;498;95.63;;;;
2;19/03/2026;529;11.94;;;;
2;30/12/2025;364;1.77;;;;
2;15/05/2026;241;248.63;;;;
2;23/08/2024;40;163.19;;;;
2;30/06/2025;747;1.19;;;;
2;19/08/2025;536;137.18;;;;
2;13/08/2024;801;141.91;;;;
2;24/04/2025;329;1.2;;;;
2;11/07/2025;819;14.7;;;;
2;19/05/2026;468;1.98;;;;
2;05/02/2026;400;8.48;;;;
2;25/07/2025;244;173.81;;;;
2;11/11/2024;999;9.1;;;;
2;19/03/2026;392;29.82;;;;
2;23/05/2025;552;179.42;;;;
2;18/12/2024;989;27.45;;;;
2;13/05/2025;484;35.92;;;;
2;06/01/2026;484;488.08;;;;
2;27/11/2024;983;8.18;;;;
2;01/05/2025;809;33.08;;;;
2;24/07/2025;982;29.14;;;;
2;25/05/2026;146;32.3;;;;
2;09/09/2025;954;65.44;;;;
2;25/08/2025;262;229.62;;;;
2;18/04/2025;524;83.26;;;;
2;24/09/2024;496;9.72;;;;
2;05/07/2024;406;195.36;;;;
2;10/07/2025;523;2.38;;;;
2;02/05/2025;988;27.73;;;;
2;11/12/2024;75;4.57;;;;
2;25/07/2024;527;91.26;;;;
2;28/07/2025;138;0.43;;;;
2;08/07/2024;453;277.01;;;;
2;04/02/2025;122;141.29;;;;
2;29/10/2024;282;44.3;;;;
2;18/03/2025;843;179.69;;;;
2;06/08/2024;245;1.07;;;;
2;28/08/2024;126;289.37;;;;
2;09/01/2026;684;8.82;;;;
2;07/05/2026;468;27.84;;;;
2;08/04/2025;138;93.38;;;;
2;15/11/2024;47;13.18;;;;
2;16/01/2025;885;237.42;;;;
2;11/04/2025;428;20.45;;;;
2;27/01/2025;193;15.93;;;;
2;05/09/2024;4;4546.41;;;;
2;17/09/2025;5;57.15;;;;
2;13/11/2025;425;39;;;;
2;21/07/2025;557;255.74;;;;
2;14/10/2025;304;22.23;;;;
2;13/02/2025;932;101.46;;;;
2;23/09/2025;957;219.12;;;;
2;09/01/2026;277;4050.19;;;;
2;30/12/2024;578;214.46;;;;
2;09/01/2026;178;91.21;;;;
2;25/09/2024;479;39.82;;;;
2;03/02/2026;106;4957.44;;;;
2;05/09/2025;328;9.36;;;;
2;22/01/2026;49;13.63;;;;
2;01/11/2024;849;38.85;;;;
2;24/03/2025;257;26.01;;;;
2;28/08/2025;322;0.86;;;;
2;16/01/2025;957;260.5;;;;
2;07/05/2025;458;58.52;;;;
2;17/01/2025;178;54.82;;;;
2;29/10/2024;792;13.95;;;;
2;15/11/2024;24;7.04;;;;
2;06/05/2025;125;177.5;;;;
2;30/07/2024;331;1.08;;;;
2;01/05/2025;125;70.7;;;;
2;26/11/2025;101;96.39;;;;
2;27/04/2026;266;255.4;;;;
2;15/08/2024;189;172.21;;;;
2;19/06/2025;967;93.22;;;;
2;19/09/2025;883;7.4;;;;
2;02/03/2026;288;73.09;;;;
2;21/08/2024;141;4833.29;;;;
2;02/05/2025;965;57.59;;;;
2;05/12/2025;152;226.59;;;;
2;12/09/2024;984;98.66;;;;
2;12/03/2026;720;26.46;;;;
2;08/01/2026;129;6.71;;;;
2;05/07/2024;209;285.4;;;;
2;09/09/2025;267;22.14;;;;
2;22/08/2025;849;1.32;;;;
2;07/04/2026;130;29.23;;;;
2;17/11/2025;886;258.27;;;;
2;11/10/2024;846;85.26;;;;
2;14/11/2025;441;5.33;;;;
2;19/05/2026;517;30.8;;;;
2;05/05/2025;180;2.12;;;;
2;28/07/2025;466;33.94;;;;
2;21/01/2026;350;433.59;;;;
2;16/10/2024;506;64.58;;;;
2;08/01/2025;921;5;;;;
2;31/01/2025;440;7.68;;;;
2;11/07/2025;690;201.69;;;;
2;04/11/2024;476;1680.77;;;;
2;04/11/2024;258;44.51;;;;
2;03/06/2026;443;101.92;;;;
2;19/09/2024;397;8.61;;;;
2;28/01/2026;784;191.88;;;;
2;23/04/2025;887;27.23;;;;
2;13/08/2025;588;15.68;;;;
2;21/01/2026;534;55.01;;;;
2;12/06/2025;954;6.89;;;;
2;11/09/2025;108;263.18;;;;
2;11/07/2024;504;27.5;;;;
2;30/06/2025;730;0.79;;;;
2;19/03/2025;868;393.17;;;;
2;03/09/2024;113;86.46;;;;
2;02/03/2026;6;17.03;;;;
2;25/11/2025;611;42.75;;;;
2;11/07/2025;750;22.79;;;;
2;14/01/2025;472;234.31;;;;
2;11/06/2025;498;9.1;;;;
2;19/07/2024;452;2.29;;;;
2;02/09/2025;10;6.19;;;;
2;13/08/2025;108;79.24;;;;
2;09/05/2025;871;4.59;;;;
2;04/09/2024;428;85.34;;;;
2;15/09/2025;622;212.52;;;;
2;10/12/2025;157;62.6;;;;
2;02/09/2024;93;0.71;;;;
2;02/09/2025;293;286.71;;;;
2;09/01/2025;213;11.65;;;;
2;03/12/2024;684;39.98;;;;
2;08/12/2025;366;37.47;;;;
2;16/10/2024;565;191.27;;;;
2;07/10/2025;845;274.49;;;;
2;15/07/2025;764;28.92;;;;
2;19/11/2025;499;487.32;;;;
2;04/07/2025;629;0.87;;;;
2;24/02/2025;815;43.01;;;;
2;30/07/2024;94;19.46;;;;
2;06/08/2024;657;9.11;;;;
2;17/03/2026;31;221.91;;;;
2;06/02/2026;63;58.39;;;;
2;30/05/2025;783;63.4;;;;
2;24/12/2025;653;66.48;;;;
2;02/12/2025;842;13.61;;;;
2;07/05/2026;593;1.27;;;;
2;07/11/2025;985;6.66;;;;
2;24/12/2025;631;28.53;;;;
2;03/02/2025;217;80.45;;;;
2;25/08/2025;343;6.26;;;;
2;14/02/2025;613;83.29;;;;
2;20/02/2026;685;154.19;;;;
2;09/12/2025;20;10.32;;;;
2;14/11/2024;132;191.37;;;;
2;24/06/2025;611;6.34;;;;
2;30/06/2025;724;188.43;;;;
2;07/07/2025;954;9.48;;;;
2;04/12/2024;404;41.27;;;;
2;23/08/2024;198;9.77;;;;
2;27/03/2025;805;18.51;;;;
2;26/12/2025;513;20.28;;;;
2;11/03/2026;396;240.94;;;;
2;20/08/2024;654;227.6;;;;
2;24/07/2024;442;14.54;;;;
2;31/03/2025;70;67.03;;;;
2;19/01/2026;722;189.23;;;;
2;11/08/2025;89;12.63;;;;
2;12/09/2024;101;1.19;;;;
2;29/01/2025;701;64.78;;;;
2;29/05/2025;905;6.8;;;;
2;20/12/2024;171;21.84;;;;
2;28/04/2025;742;98.3;;;;
2;11/02/2026;342;7.43;;;;
2;21/10/2025;60;7.3;;;;
2;22/05/2025;956;47.14;;;;
2;05/12/2025;909;1.52;;;;
2;26/02/2025;954;1.88;;;;
2;12/09/2024;363;1.26;;;;
2;21/04/2025;643;100.31;;;;
2;09/05/2025;575;23.33;;;;
2;19/08/2024;889;31.56;;;;
2;30/01/2025;834;69.66;;;;
2;11/04/2025;135;8.89;;;;
2;29/04/2025;247;91.2;;;;
2;20/03/2026;600;91.86;;;;
2;10/07/2024;780;1.42;;;;
2;10/09/2024;534;34.25;;;;
2;27/05/2025;872;248.28;;;;
2;12/12/2024;548;102.85;;;;
2;04/09/2024;482;14.71;;;;
2;16/07/2025;656;9.72;;;;
2;09/08/2024;278;247.87;;;;
2;28/08/2025;632;89.95;;;;
2;04/02/2025;682;59.51;;;;
2;06/12/2024;853;16.41;;;;
2;17/02/2026;43;0.76;;;;
2;11/11/2024;110;1.38;;;;
2;28/08/2025;990;278.22;;;;
2;07/11/2025;730;25.9;;;;
2;27/06/2025;64;99.79;;;;
2;08/10/2024;268;1.22;;;;
2;20/05/2025;592;20.44;;;;
2;27/01/2026;360;88.94;;;;
2;21/01/2025;960;83.48;;;;
2;22/07/2024;181;12.76;;;;
2;14/03/2025;872;6.14;;;;
2;21/08/2025;775;27.29;;;;
2;19/02/2026;600;94.21;;;;
2;15/04/2026;795;0.43;;;;
2;16/09/2024;185;25.39;;;;
2;12/08/2024;488;1.34;;;;
2;30/01/2025;899;26.9;;;;
2;25/02/2026;276;26;;;;
2;30/06/2025;132;53.08;;;;
2;17/04/2026;916;16.43;;;;
2;18/03/2025;762;199.99;;;;
2;26/11/2024;748;10.94;;;;
2;17/10/2024;970;5.29;;;;
2;13/01/2025;171;34.74;;;;
2;29/10/2025;359;26.42;;;;
2;23/12/2025;646;1.02;;;;
2;03/12/2025;755;7.76;;;;
2;02/04/2026;725;34.08;;;;
2;21/01/2026;526;19.21;;;;
2;19/01/2026;21;28.2;;;;
2;24/02/2025;313;47.62;;;;
2;05/05/2025;855;154.61;;;;
2;31/10/2025;667;77.75;;;;
2;16/12/2025;384;2.84;;;;
2;14/11/2025;182;9.67;;;;
2;11/08/2025;197;0.93;;;;
2;17/11/2025;95;28.36;;;;
2;02/10/2024;981;0.55;;;;
2;04/09/2025;38;26.1;;;;
2;21/05/2025;635;226.18;;;;
2;26/11/2025;410;27.43;;;;
2;13/03/2026;594;72.16;;;;
2;07/02/2025;350;203.44;;;;
2;25/11/2025;224;18.98;;;;
2;24/02/2025;173;92.36;;;;
2;26/05/2025;425;8.24;;;;
2;27/08/2024;345;15.11;;;;
2;01/04/2025;919;34.41;;;;
2;14/08/2024;504;11.19;;;;
2;21/02/2025;116;12.15;;;;
2;01/10/2024;235;6.32;;;;
2;20/05/2026;852;1.32;;;;
2;30/04/2026;3;79.92;;;;
2;23/12/2024;673;18.05;;;;
2;21/04/2026;591;1.59;;;;
2;13/08/2024;318;37.78;;;;
2;30/05/2025;324;28.37;;;;
2;25/12/2024;32;56.11;;;;
2;10/07/2024;887;31.45;;;;
2;02/12/2025;635;7.9;;;;
2;02/10/2025;755;47.29;;;;
2;30/04/2026;954;5.6;;;;
2;19/03/2026;44;216.31;;;;
2;03/12/2024;936;77;;;;
2;10/10/2025;68;8.65;;;;
2;27/03/2026;277;8.91;;;;
2;25/06/2025;911;39.92;;;;
2;17/01/2025;406;5.98;;;;
2;18/05/2026;968;10.93;;;;
2;10/02/2026;325;20.4;;;;
2;10/10/2024;560;54.54;;;;
2;06/02/2026;762;26.58;;;;
2;29/04/2025;248;23.78;;;;
2;12/08/2024;494;90.14;;;;
2;13/04/2026;488;9.18;;;;
2;23/01/2026;986;87.65;;;;
2;19/02/2026;460;17.01;;;;
2;17/11/2025;80;2.11;;;;
2;16/03/2026;997;9.91;;;;
2;14/01/2026;476;1.32;;;;
2;22/10/2024;924;29.14;;;;
2;22/12/2025;473;6.64;;;;
2;11/07/2024;570;161.63;;;;
2;16/09/2025;77;67.03;;;;
2;22/11/2024;169;174.82;;;;
2;15/07/2025;434;30.23;;;;
2;20/02/2025;282;247.83;;;;
2;03/09/2025;7;37.59;;;;
2;29/09/2025;918;28.81;;;;
2;06/09/2024;4;82.25;;;;
2;28/10/2025;448;37.58;;;;
2;15/11/2024;196;60.53;;;;
2;27/11/2025;422;142.85;;;;
2;11/09/2025;946;19.68;;;;
2;13/08/2024;995;39.37;;;;
2;04/07/2024;12;82.62;;;;
2;25/04/2025;354;21.19;;;;
2;06/08/2024;361;1.19;;;;
2;13/11/2024;927;134.75;;;;
2;27/11/2024;953;22.81;;;;
2;27/11/2024;549;8.5;;;;
2;01/07/2024;447;224.44;;;;
2;02/03/2026;12;29.33;;;;
2;27/11/2025;189;52.15;;;;
2;30/03/2026;142;8.2;;;;
2;14/10/2025;137;29.3;;;;
2;05/11/2024;176;20.16;;;;
2;16/01/2026;767;87.67;;;;
