Quantidade;Preco_Real;Preco_Previsto
326;279.93;110.64307212812221
803;25.57;71.74467814447307
115;103.0;127.84969923619342
156;5.55;124.5062314095066
142;6.31;125.64790335032649
768;9.12;74.5988579965228
222;17.32;119.12406368849854
50;17.18;133.15031896142864
768;55.37;74.5988579965228
339;0.79;109.58294818307516
117;2.17;127.68660324464771
14;35.97;136.0860468092512
608;87.06;87.6465373201787
395;173.91;105.0162604197956
138;12.44;125.97409533341788
144;29.35;125.48480735878078
948;142.68;59.92021875740991
287;73.37;113.82344396326333
897;30.89;64.07916654182523
3;52.37;136.98307476275255
896;174.51;64.16071453759808
736;1.9;77.20839386125398
271;86.52;115.12821189562892
261;9.62;115.94369185335742
601;11.23;88.21737329058864
419;31.72;103.05910852124723
531;8.93;93.92573299468809
142;8.05;125.64790335032649
125;21.76;127.03421927846492
167;11.91;123.60920345600525
944;65.29;60.24641074050132
386;11.19;105.75019238175125
39;162.88;134.04734691492996
47;237.19;133.39496294874718
138;166.5;125.97409533341788
11;37.54;136.33069079656974
447;224.44;100.77576463960744
189;16.46;121.81514754900256
668;8.56;82.75365757380774
177;31.17;122.79372349827676
924;1261.77;61.8773706559583
855;6.42;67.5041823642849
963;7.82;58.69699882081717
509;22.61;95.71978890169078
10;250.38;136.4122387923426
431;5.98;102.08053257197302
916;30.32;62.5297546221411
666;7.02;82.91675356535343
6;82.44;136.73843077543398
98;74.61;129.23601516433186
4;77.85;136.90152676697969
3;31.21;136.98307476275255
88;13.89;130.05149512206035
761;23.8;75.16969396693275
702;249.05;79.98102571753085
731;53.08;77.61613384011822
869;242.08;66.36251042346501
4;103.86;136.90152676697969
13;58.37;136.16759480502404
37;4.95;134.21044290647566
264;31.08;115.69904786603887
572;29.07;90.58226516800127
652;29.81;84.05842550617332
704;23.59;79.81792972598515
8;19.34;136.5753347838883
775;28.98;74.02802202611285
522;222.65;94.65966495664374
43;1.01;133.72115493183856
428;40.91;102.32517655929158
396;467.98;104.93471242402276
285;43.75;113.98653995480903
14;1.12;136.0860468092512
619;148.77;86.74950936667736
920;94.47;62.20356263904969
307;191.59;112.19248404780635
645;29.39;84.62926147658327
18;29.64;135.7598548261598
11;22.14;136.33069079656974
776;25.03;73.94647403034
954;136.47;59.43093078277282
724;1.19;78.18696981052817
116;115.1;127.76815124042056
233;181.52;118.2270357349972
436;22.79;101.67279259310878
609;252.0;87.56498932440584
522;270.89;94.65966495664374
792;8.02;72.64170609797442
36;103.52;134.29199090224853
16;211.48;135.9229508177055
672;0.76;82.42746559071634
922;0.64;62.040466647504005
455;26.21;100.12338067342463
907;19.31;63.263686584096746
821;10.43;70.27681422056179
547;26.64;92.62096506232251
555;0.46;91.9685810961397
92;11.67;129.72530313896894
2;231.39;137.0646227585254
20;9.61;135.5967588346141
507;102.51;95.88288489323648
29;24.89;134.86282687265847
631;8.2;85.77093341740316
856;0.23;67.42263436851206
4;179.32;136.90152676697969
499;64.97;96.53526885941926
24;66.26;135.27056685152272
663;207.93;83.16139755267199
581;1.69;89.84833320604562
445;28.53;100.93886063115313
19;49.18;135.67830683038696
779;21.0;73.70183004302146
535;13.28;93.5995410115967
802;414.35;71.82622614024592
22;29.23;135.43366284306842
292;7.28;113.41570398439909
673;181.85;82.34591759494349
436;9.91;101.67279259310878
43;1.53;133.72115493183856
952;0.27;59.59402677431852
399;142.17;104.6900684367042
933;85.87;61.143438694002654
681;286.83;81.69353362876069
81;211.96;130.6223310924703
927;213.72;61.63272666863975
208;69.1;120.26573562931843
12;39.18;136.2491428007969
34;287.66;134.4550868937942
985;21.77;56.9029429138145
923;230.52;61.95891865173115
10;58.28;136.4122387923426
597;0.92;88.54356527368003
454;32.4;100.2049286691975
204;94.77;120.59192761240982
816;97.47;70.68455419942603
45;8.38;133.55805894029288
826;42.12;69.86907424169753
511;82.1;95.55669291014507
812;13.14;71.01074618251742
756;63.31;75.577433945797
909;60.89;63.10059059255104
669;2.13;82.67210957803488
1;1.07;137.14617075429825
17;229.22;135.84140282193266
57;10.34;132.57948299101866
712;282.22;79.16554575980237
662;256.87;83.24294554844482
589;6.92;89.19594923986284
4;12.4;136.90152676697969
720;8.59;78.51316179361956
500;81.18;96.45372086364642
990;9.89;56.49520293495024
616;26.57;86.9941533539959
876;35.8;65.79167445305507
569;57.2;90.82690915531981
